episode,reward,avg_reward_100
784,4996.77,4866.23
785,4767.86,4865.10
786,4907.89,4864.79
787,5049.20,4867.38
788,5025.18,4868.64
789,4913.49,4870.13
790,4904.14,4870.08
791,4987.03,4873.89
792,5088.12,4875.82
793,4965.43,4876.99
794,4874.56,4878.41
795,5051.14,4882.63
796,4856.55,4881.54
797,5046.78,4882.73
798,4968.01,4883.87
799,4821.06,4884.59
800,4903.67,4886.48
801,4929.89,4886.44
802,4973.94,4888.35
803,4989.51,4890.75
804,5187.80,4895.04
805,4987.54,4896.62
806,5071.46,4897.96
807,4882.19,4900.53
808,4850.47,4900.68
809,4936.46,4901.95
810,4911.65,4902.90
811,4939.12,4903.71
812,4794.92,4904.34
813,4926.57,4905.52
814,4816.27,4906.14
815,4978.19,4907.60
816,4991.04,4910.75
817,4887.88,4910.11
818,4836.44,4909.13
819,5005.99,4910.28
820,4971.46,4911.45
821,5014.12,4913.02
822,4964.74,4913.57
823,4953.24,4913.32
824,4917.36,4913.53
825,4908.86,4915.82
826,4981.51,4919.52
827,5053.74,4921.14
828,5008.82,4922.11
829,4833.95,4922.76
830,4946.75,4923.71
831,5112.86,4925.88
832,4951.52,4924.42
833,4964.13,4925.97
834,5156.84,4928.72
835,4930.79,4928.11
836,5029.22,4929.06
837,4987.36,4930.73
838,4977.39,4932.09
839,5172.76,4934.99
840,5004.25,4937.25
841,5149.94,4941.46
842,4930.67,4942.16
843,4957.36,4942.08
844,5217.19,4945.82
845,4896.19,4945.95
846,5161.02,4949.05
847,5041.14,4950.04
848,5095.19,4952.26
849,4909.98,4952.23
850,5235.51,4956.92
851,4895.25,4958.30
852,5013.57,4960.14
853,4992.30,4961.12
854,5187.94,4964.40
855,5043.43,4964.58
856,4981.61,4966.30
857,5143.11,4968.62
858,4984.45,4969.99
859,5103.68,4971.33
860,5037.27,4973.37
861,5251.57,4975.08
862,5105.84,4977.53
863,4971.67,4978.29
864,4936.67,4978.10
865,4964.00,4978.70
866,4958.34,4977.35
867,5031.30,4979.15
868,4951.27,4979.01
869,4865.06,4979.80
870,4919.72,4979.35
871,5097.67,4981.09
872,5046.40,4982.91
873,5029.11,4983.48
874,4775.94,4981.56
875,5010.63,4983.45
876,4826.44,4982.66
877,5071.21,4983.30
878,5141.04,4986.59
879,4979.75,4986.92
880,4929.63,4985.51
881,4906.79,4985.74
882,5197.57,4987.15
883,5057.88,4988.68
884,4936.47,4988.08
885,5266.09,4993.06
886,5191.58,4995.90
887,5187.53,4997.28
888,5015.76,4997.19
889,5027.13,4998.32
890,5071.88,5000.00
891,4989.42,5000.02
892,4954.15,4998.69
